Entity,Code,Year,CO₂ concentration (parts per million)
World,OWID_WRL,1,276.064
World,OWID_WRL,2,276.112
World,OWID_WRL,3,276.163
World,OWID_WRL,4,276.218
World,OWID_WRL,5,276.276
World,OWID_WRL,6,276.337
World,OWID_WRL,7,276.399
World,OWID_WRL,8,276.464
World,OWID_WRL,9,276.531
World,OWID_WRL,10,276.599
World,OWID_WRL,11,276.668
World,OWID_WRL,12,276.737
World,OWID_WRL,13,276.808
World,OWID_WRL,14,276.878
World,OWID_WRL,15,276.948
World,OWID_WRL,16,277.017
World,OWID_WRL,17,277.086
World,OWID_WRL,18,277.153
World,OWID_WRL,19,277.219
World,OWID_WRL,20,277.283
World,OWID_WRL,21,277.345
World,OWID_WRL,22,277.404
World,OWID_WRL,23,277.461
World,OWID_WRL,24,277.515
World,OWID_WRL,25,277.565
World,OWID_WRL,26,277.612
World,OWID_WRL,27,277.654
World,OWID_WRL,28,277.692
World,OWID_WRL,29,277.726
World,OWID_WRL,30,277.754
World,OWID_WRL,31,277.777
World,OWID_WRL,32,277.796
World,OWID_WRL,33,277.81
World,OWID_WRL,34,277.82
World,OWID_WRL,35,277.825
World,OWID_WRL,36,277.827
World,OWID_WRL,37,277.826
World,OWID_WRL,38,277.821
World,OWID_WRL,39,277.813
World,OWID_WRL,40,277.802
World,OWID_WRL,41,277.788
World,OWID_WRL,42,277.773
World,OWID_WRL,43,277.755
World,OWID_WRL,44,277.735
World,OWID_WRL,45,277.714
World,OWID_WRL,46,277.692
World,OWID_WRL,47,277.668
World,OWID_WRL,48,277.644
World,OWID_WRL,49,277.619
World,OWID_WRL,50,277.593
World,OWID_WRL,51,277.568
World,OWID_WRL,52,277.543
World,OWID_WRL,53,277.518
World,OWID_WRL,54,277.494
World,OWID_WRL,55,277.471
World,OWID_WRL,56,277.449
World,OWID_WRL,57,277.428
World,OWID_WRL,58,277.408
World,OWID_WRL,59,277.39
World,OWID_WRL,60,277.374
World,OWID_WRL,61,277.358
World,OWID_WRL,62,277.344
World,OWID_WRL,63,277.331
World,OWID_WRL,64,277.319
World,OWID_WRL,65,277.309
World,OWID_WRL,66,277.299
World,OWID_WRL,67,277.291
World,OWID_WRL,68,277.283
World,OWID_WRL,69,277.277
World,OWID_WRL,70,277.272
World,OWID_WRL,71,277.268
World,OWID_WRL,72,277.264
World,OWID_WRL,73,277.262
World,OWID_WRL,74,277.26
World,OWID_WRL,75,277.26
World,OWID_WRL,76,277.26
World,OWID_WRL,77,277.261
World,OWID_WRL,78,277.262
World,OWID_WRL,79,277.265
World,OWID_WRL,80,277.268
World,OWID_WRL,81,277.272
World,OWID_WRL,82,277.276
World,OWID_WRL,83,277.282
World,OWID_WRL,84,277.287
World,OWID_WRL,85,277.294
World,OWID_WRL,86,277.3
World,OWID_WRL,87,277.308
World,OWID_WRL,88,277.315
World,OWID_WRL,89,277.324
World,OWID_WRL,90,277.332
World,OWID_WRL,91,277.341
World,OWID_WRL,92,277.351
World,OWID_WRL,93,277.36
World,OWID_WRL,94,277.37
World,OWID_WRL,95,277.381
World,OWID_WRL,96,277.391
World,OWID_WRL,97,277.402
World,OWID_WRL,98,277.413
World,OWID_WRL,99,277.423
World,OWID_WRL,100,277.435
World,OWID_WRL,101,277.446
World,OWID_WRL,102,277.457
World,OWID_WRL,103,277.468
World,OWID_WRL,104,277.479
World,OWID_WRL,105,277.49
World,OWID_WRL,106,277.502
World,OWID_WRL,107,277.513
World,OWID_WRL,108,277.524
World,OWID_WRL,109,277.536
World,OWID_WRL,110,277.547
World,OWID_WRL,111,277.56
World,OWID_WRL,112,277.572
World,OWID_WRL,113,277.585
World,OWID_WRL,114,277.599
World,OWID_WRL,115,277.613
World,OWID_WRL,116,277.628
World,OWID_WRL,117,277.643
World,OWID_WRL,118,277.66
World,OWID_WRL,119,277.677
World,OWID_WRL,120,277.696
World,OWID_WRL,121,277.715
World,OWID_WRL,122,277.736
World,OWID_WRL,123,277.757
World,OWID_WRL,124,277.781
World,OWID_WRL,125,277.805
World,OWID_WRL,126,277.831
World,OWID_WRL,127,277.858
World,OWID_WRL,128,277.887
World,OWID_WRL,129,277.917
World,OWID_WRL,130,277.95
World,OWID_WRL,131,277.984
World,OWID_WRL,132,278.019
World,OWID_WRL,133,278.057
World,OWID_WRL,134,278.097
World,OWID_WRL,135,278.139
World,OWID_WRL,136,278.183
World,OWID_WRL,137,278.229
World,OWID_WRL,138,278.277
World,OWID_WRL,139,278.327
World,OWID_WRL,140,278.379
World,OWID_WRL,141,278.433
World,OWID_WRL,142,278.488
World,OWID_WRL,143,278.544
World,OWID_WRL,144,278.602
World,OWID_WRL,145,278.661
World,OWID_WRL,146,278.72
World,OWID_WRL,147,278.781
World,OWID_WRL,148,278.842
World,OWID_WRL,149,278.903
World,OWID_WRL,150,278.965
World,OWID_WRL,151,279.027
World,OWID_WRL,152,279.089
World,OWID_WRL,153,279.152
World,OWID_WRL,154,279.214
World,OWID_WRL,155,279.275
World,OWID_WRL,156,279.336
World,OWID_WRL,157,279.397
World,OWID_WRL,158,279.456
World,OWID_WRL,159,279.515
World,OWID_WRL,160,279.573
World,OWID_WRL,161,279.629
World,OWID_WRL,162,279.685
World,OWID_WRL,163,279.738
World,OWID_WRL,164,279.79
World,OWID_WRL,165,279.841
World,OWID_WRL,166,279.889
World,OWID_WRL,167,279.935
World,OWID_WRL,168,279.979
World,OWID_WRL,169,280.021
World,OWID_WRL,170,280.061
World,OWID_WRL,171,280.098
World,OWID_WRL,172,280.133
World,OWID_WRL,173,280.167
World,OWID_WRL,174,280.198
World,OWID_WRL,175,280.228
World,OWID_WRL,176,280.256
World,OWID_WRL,177,280.283
World,OWID_WRL,178,280.308
World,OWID_WRL,179,280.332
World,OWID_WRL,180,280.354
World,OWID_WRL,181,280.376
World,OWID_WRL,182,280.397
World,OWID_WRL,183,280.417
World,OWID_WRL,184,280.436
World,OWID_WRL,185,280.454
World,OWID_WRL,186,280.472
World,OWID_WRL,187,280.49
World,OWID_WRL,188,280.507
World,OWID_WRL,189,280.524
World,OWID_WRL,190,280.541
World,OWID_WRL,191,280.558
World,OWID_WRL,192,280.575
World,OWID_WRL,193,280.592
World,OWID_WRL,194,280.61
World,OWID_WRL,195,280.628
World,OWID_WRL,196,280.646
World,OWID_WRL,197,280.666
World,OWID_WRL,198,280.686
World,OWID_WRL,199,280.707
World,OWID_WRL,200,280.729
World,OWID_WRL,201,280.752
World,OWID_WRL,202,280.777
World,OWID_WRL,203,280.802
World,OWID_WRL,204,280.829
World,OWID_WRL,205,280.857
World,OWID_WRL,206,280.887
World,OWID_WRL,207,280.916
World,OWID_WRL,208,280.947
World,OWID_WRL,209,280.978
World,OWID_WRL,210,281.009
World,OWID_WRL,211,281.041
World,OWID_WRL,212,281.072
World,OWID_WRL,213,281.103
World,OWID_WRL,214,281.134
World,OWID_WRL,215,281.163
World,OWID_WRL,216,281.193
World,OWID_WRL,217,281.221
World,OWID_WRL,218,281.248
World,OWID_WRL,219,281.274
World,OWID_WRL,220,281.299
World,OWID_WRL,221,281.322
World,OWID_WRL,222,281.343
World,OWID_WRL,223,281.363
World,OWID_WRL,224,281.38
World,OWID_WRL,225,281.394
World,OWID_WRL,226,281.407
World,OWID_WRL,227,281.417
World,OWID_WRL,228,281.423
World,OWID_WRL,229,281.428
World,OWID_WRL,230,281.429
World,OWID_WRL,231,281.427
World,OWID_WRL,232,281.423
World,OWID_WRL,233,281.416
World,OWID_WRL,234,281.407
World,OWID_WRL,235,281.395
World,OWID_WRL,236,281.381
World,OWID_WRL,237,281.365
World,OWID_WRL,238,281.347
World,OWID_WRL,239,281.327
World,OWID_WRL,240,281.306
World,OWID_WRL,241,281.282
World,OWID_WRL,242,281.257
World,OWID_WRL,243,281.23
World,OWID_WRL,244,281.202
World,OWID_WRL,245,281.173
World,OWID_WRL,246,281.142
World,OWID_WRL,247,281.11
World,OWID_WRL,248,281.077
World,OWID_WRL,249,281.043
World,OWID_WRL,250,281.008
World,OWID_WRL,251,280.973
World,OWID_WRL,252,280.937
World,OWID_WRL,253,280.9
World,OWID_WRL,254,280.863
World,OWID_WRL,255,280.826
World,OWID_WRL,256,280.788
World,OWID_WRL,257,280.75
World,OWID_WRL,258,280.712
World,OWID_WRL,259,280.675
World,OWID_WRL,260,280.637
World,OWID_WRL,261,280.6
World,OWID_WRL,262,280.563
World,OWID_WRL,263,280.526
World,OWID_WRL,264,280.491
World,OWID_WRL,265,280.455
World,OWID_WRL,266,280.421
World,OWID_WRL,267,280.387
World,OWID_WRL,268,280.355
World,OWID_WRL,269,280.323
World,OWID_WRL,270,280.293
World,OWID_WRL,271,280.264
World,OWID_WRL,272,280.236
World,OWID_WRL,273,280.21
World,OWID_WRL,274,280.185
World,OWID_WRL,275,280.163
World,OWID_WRL,276,280.141
World,OWID_WRL,277,280.121
World,OWID_WRL,278,280.103
World,OWID_WRL,279,280.086
World,OWID_WRL,280,280.07
World,OWID_WRL,281,280.055
World,OWID_WRL,282,280.041
World,OWID_WRL,283,280.028
World,OWID_WRL,284,280.016
World,OWID_WRL,285,280.004
World,OWID_WRL,286,279.993
World,OWID_WRL,287,279.983
World,OWID_WRL,288,279.973
World,OWID_WRL,289,279.962
World,OWID_WRL,290,279.953
World,OWID_WRL,291,279.943
World,OWID_WRL,292,279.933
World,OWID_WRL,293,279.923
World,OWID_WRL,294,279.913
World,OWID_WRL,295,279.902
World,OWID_WRL,296,279.891
World,OWID_WRL,297,279.879
World,OWID_WRL,298,279.867
World,OWID_WRL,299,279.854
World,OWID_WRL,300,279.839
World,OWID_WRL,301,279.824
World,OWID_WRL,302,279.808
World,OWID_WRL,303,279.791
World,OWID_WRL,304,279.772
World,OWID_WRL,305,279.752
World,OWID_WRL,306,279.731
World,OWID_WRL,307,279.708
World,OWID_WRL,308,279.684
World,OWID_WRL,309,279.659
World,OWID_WRL,310,279.633
World,OWID_WRL,311,279.606
World,OWID_WRL,312,279.577
World,OWID_WRL,313,279.547
World,OWID_WRL,314,279.516
World,OWID_WRL,315,279.484
World,OWID_WRL,316,279.451
World,OWID_WRL,317,279.416
World,OWID_WRL,318,279.38
World,OWID_WRL,319,279.343
World,OWID_WRL,320,279.305
World,OWID_WRL,321,279.266
World,OWID_WRL,322,279.226
World,OWID_WRL,323,279.184
World,OWID_WRL,324,279.141
World,OWID_WRL,325,279.097
World,OWID_WRL,326,279.052
World,OWID_WRL,327,279.006
World,OWID_WRL,328,278.959
World,OWID_WRL,329,278.91
World,OWID_WRL,330,278.86
World,OWID_WRL,331,278.81
World,OWID_WRL,332,278.758
World,OWID_WRL,333,278.706
World,OWID_WRL,334,278.652
World,OWID_WRL,335,278.598
World,OWID_WRL,336,278.543
World,OWID_WRL,337,278.488
World,OWID_WRL,338,278.433
World,OWID_WRL,339,278.377
World,OWID_WRL,340,278.32
World,OWID_WRL,341,278.264
World,OWID_WRL,342,278.207
World,OWID_WRL,343,278.15
World,OWID_WRL,344,278.094
World,OWID_WRL,345,278.037
World,OWID_WRL,346,277.981
World,OWID_WRL,347,277.925
World,OWID_WRL,348,277.869
World,OWID_WRL,349,277.814
World,OWID_WRL,350,277.76
World,OWID_WRL,351,277.706
World,OWID_WRL,352,277.653
World,OWID_WRL,353,277.6
World,OWID_WRL,354,277.549
World,OWID_WRL,355,277.498
World,OWID_WRL,356,277.449
World,OWID_WRL,357,277.401
World,OWID_WRL,358,277.354
World,OWID_WRL,359,277.308
World,OWID_WRL,360,277.264
World,OWID_WRL,361,277.221
World,OWID_WRL,362,277.18
World,OWID_WRL,363,277.14
World,OWID_WRL,364,277.103
World,OWID_WRL,365,277.067
World,OWID_WRL,366,277.033
World,OWID_WRL,367,277.001
World,OWID_WRL,368,276.97
World,OWID_WRL,369,276.942
World,OWID_WRL,370,276.915
World,OWID_WRL,371,276.89
World,OWID_WRL,372,276.866
World,OWID_WRL,373,276.844
World,OWID_WRL,374,276.824
World,OWID_WRL,375,276.805
World,OWID_WRL,376,276.787
World,OWID_WRL,377,276.771
World,OWID_WRL,378,276.757
World,OWID_WRL,379,276.743
World,OWID_WRL,380,276.731
World,OWID_WRL,381,276.721
World,OWID_WRL,382,276.711
World,OWID_WRL,383,276.703
World,OWID_WRL,384,276.695
World,OWID_WRL,385,276.689
World,OWID_WRL,386,276.684
World,OWID_WRL,387,276.68
World,OWID_WRL,388,276.677
World,OWID_WRL,389,276.675
World,OWID_WRL,390,276.674
World,OWID_WRL,391,276.674
World,OWID_WRL,392,276.674
World,OWID_WRL,393,276.676
World,OWID_WRL,394,276.678
World,OWID_WRL,395,276.68
World,OWID_WRL,396,276.684
World,OWID_WRL,397,276.688
World,OWID_WRL,398,276.692
World,OWID_WRL,399,276.697
World,OWID_WRL,400,276.703
World,OWID_WRL,401,276.709
World,OWID_WRL,402,276.715
World,OWID_WRL,403,276.722
World,OWID_WRL,404,276.729
World,OWID_WRL,405,276.737
World,OWID_WRL,406,276.744
World,OWID_WRL,407,276.752
World,OWID_WRL,408,276.76
World,OWID_WRL,409,276.768
World,OWID_WRL,410,276.777
World,OWID_WRL,411,276.785
World,OWID_WRL,412,276.793
World,OWID_WRL,413,276.801
World,OWID_WRL,414,276.81
World,OWID_WRL,415,276.818
World,OWID_WRL,416,276.826
World,OWID_WRL,417,276.833
